Symbol	Name	MarketCap	Sector	Industry
ACIU	AC Immune SA	738171265.9	Health Care	Major Pharmaceuticals
ACIW	"ACI Worldwide, Inc."	3029389324	Technology	Computer Software: Prepackaged Software
ACLS	"Axcelis Technologies, Inc."	676664143.3	Technology	Industrial Machinery/Components
ACMR	"ACM Research, Inc."	171865595	Technology	Industrial Machinery/Components
ACNB	ACNB Corporation	249726170	Finance	Major Banks
ACOR	"Acorda Therapeutics, Inc."	1437880842	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ACRS	"Aclaris Therapeutics, Inc."	633264001.5	Health Care	Major Pharmaceuticals
ACRX	"AcelRx Pharmaceuticals, Inc."	182188122.9	Health Care	Major Pharmaceuticals
ACSF	"American Capital Senior Floating, Ltd."	123001230	n/a	n/a
ACST	"Acasti Pharma, Inc."	21269026.04	Health Care	Major Pharmaceuticals
ACT	AdvisorShares Vice ETF	13145100	n/a	n/a
ACTG	Acacia Research Corporation	207553922.1	Miscellaneous	Multi-Sector Companies
ACWI	iShares MSCI ACWI Index Fund	8654352000	n/a	n/a
ACWX	iShares MSCI ACWI ex US Index Fund	3140280000	n/a	n/a
ACXM	Acxiom Corporation	3061935797	Technology	EDP Services
ADAP	Adaptimmune Therapeutics plc	753403509	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADBE	Adobe Systems Incorporated	1.21529E+11	Technology	Computer Software: Prepackaged Software
ADES	"Advanced Emissions Solutions, Inc."	239106825.2	Basic Industries	Major Chemicals
ADI	"Analog Devices, Inc."	36051216782	Technology	Semiconductors
ADMA	ADMA Biologics Inc	203937861.6	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADMP	Adamis Pharmaceuticals Corporation	150252345	Health Care	Major Pharmaceuticals
ADMS	"Adamas Pharmaceuticals, Inc."	691287089.6	Health Care	Major Pharmaceuticals
ADOM	"ADOMANI, Inc."	58308318.84	Capital Goods	Auto Parts:O.E.M.
ADP	"Automatic Data Processing, Inc."	59126906327	Technology	EDP Services
ADRA	Invesco BLDRS Asia 50 ADR Index Fund	21645000	n/a	n/a
ADRD	Invesco BLDRS Developed Markets 100 ADR Index Fund	64438500	n/a	n/a
ADRE	Invesco BLDRS Emerging Markets 50 ADR Index Fund	164043500	n/a	n/a
ADRO	"Aduro Biotech, Inc."	590476140	Health Care	Major Pharmaceuticals
ADRU	Invesco BLDRS Europe Select ADR Index Fund	16571250	n/a	n/a
ADSK	"Autodesk, Inc."	29608692705	Technology	Computer Software: Prepackaged Software
ADTN	"ADTRAN, Inc."	742670751	Public Utilities	Telecommunications Equipment
ADUS	Addus HomeCare Corporation	672310355	Health Care	Medical/Nursing Services
ADVM	"Adverum Biotechnologies, Inc."	370517811	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADXS	"Advaxis, Inc."	82615739.3	Health Care	Major Pharmaceuticals
ADXSW	"Advaxis, Inc."	0	Health Care	Major Pharmaceuticals
AEGN	Aegion Corp	857945750.7	Basic Industries	Water Supply
AEHR	Aehr Test Systems	57299235.3	Capital Goods	Electrical Products
AEIS	"Advanced Energy Industries, Inc."	2405387694	Capital Goods	Industrial Machinery/Components
AEMD	"Aethlon Medical, Inc."	23800016.04	Capital Goods	Biotechnology: Laboratory Analytical Instruments
AERI	"Aerie Pharmaceuticals, Inc."	2662065448	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AETI	"American Electric Technologies, Inc."	11117117.72	Energy	Industrial Machinery/Components
AEY	"ADDvantage Technologies Group, Inc."	13679346.26	Consumer Services	Office Equipment/Supplies/Services
AEZS	AEterna Zentaris Inc.	33366522.42	Health Care	Major Pharmaceuticals
AFH	"Atlas Financial Holdings, Inc."	102061093.5	Finance	Property-Casualty Insurers
AFHBL	"Atlas Financial Holdings, Inc."	0	Finance	Property-Casualty Insurers
AFMD	Affimed N.V.	115421625.8	Health Care	Major Pharmaceuticals
AFSI	"AmTrust Financial Services, Inc."	2864827037	Finance	Property-Casualty Insurers
AGEN	Agenus Inc.	251677776	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AGFS	"AgroFresh Solutions, Inc."	357046991.3	Finance	Business Services
AGFSW	"AgroFresh Solutions, Inc."	0	Finance	Business Services
AGIO	"Agios Pharmaceuticals, Inc."	4893021448	Health Care	Major Pharmaceuticals
AGLE	"Aeglea BioTherapeutics, Inc."	222304748.6	Health Care	Major Pharmaceuticals
AGMH	AGM Group Holdings Inc.	483021806.3	Technology	EDP Services
AGNC	AGNC Investment Corp.	8149794160	Consumer Services	Real Estate Investment Trusts
AGNCB	AGNC Investment Corp.	8928018639	Consumer Services	Real Estate Investment Trusts
AGNCN	AGNC Investment Corp.	0	Consumer Services	Real Estate Investment Trusts
AGND	WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund	34624640	n/a	n/a
AGRX	"Agile Therapeutics, Inc."	19179030.08	Health Care	Major Pharmaceuticals
AGTC	Applied Genetic Technologies Corporation	76064251.2	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AGYS	"Agilysys, Inc."	378028650.4	Technology	EDP Services
AGZD	WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund	38289920	n/a	n/a
AHPA	Avista Healthcare Public Acquisition Corp.	389437500	Health Care	Biotechnology: Commercial Physical & Biological Resarch
AHPAU	Avista Healthcare Public Acquisition Corp.	0	Health Care	Biotechnology: Commercial Physical & Biological Resarch
AHPAW	Avista Healthcare Public Acquisition Corp.	0	Health Care	Biotechnology: Commercial Physical & Biological Resarch
AHPI	"Allied Healthcare Products, Inc."	9833165.65	Health Care	Industrial Specialties
AIA	iShares Asia 50 ETF	1026927500	n/a	n/a
AIHS	Senmiao Technology Limited	137160820	Finance	Finance: Consumer Services
AIMC	Altra Industrial Motion Corp.	1282784934	Capital Goods	Industrial Machinery/Components
AIMT	"Aimmune Therapeutics, Inc."	1654557220	Health Care	Major Pharmaceuticals
AINV	Apollo Investment Corporation	1214674369	n/a	n/a
AIPT	Precision Therapeutics Inc.	14214464.71	Health Care	Industrial Specialties
AIQ	Global X Future Analytics Tech ETF	0	n/a	n/a
AIRG	"Airgain, Inc."	97860015.44	Technology	Radio And Television Broadcasting And Communications Equipment
AIRR	First Trust RBA American Industrial Renaissance ETF	186048054.7	n/a	n/a
AIRT	"Air T, Inc."	62432193.85	Transportation	Air Freight/Delivery Services
AKAM	"Akamai Technologies, Inc."	12779700034	Miscellaneous	Business Services
AKAO	"Achaogen, Inc."	381216436.4	Health Care	Major Pharmaceuticals
AKBA	"Akebia Therapeutics, Inc."	573122832	Health Care	Major Pharmaceuticals
AKCA	"Akcea Therapeutics, Inc."	2184339638	Health Care	Major Pharmaceuticals
AKER	Akers Biosciences Inc	30822210.46	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX	"Akorn, Inc."	2263423173	Health Care	Major Pharmaceuticals
AKTS	"Akoustis Technologies, Inc."	195421038	Public Utilities	Telecommunications Equipment
AKTX	Akari Therapeutics Plc	31329256.62	Health Care	Major Pharmaceuticals
ALBO	"Albireo Pharma, Inc."	437433225.6	Health Care	Major Pharmaceuticals
ALCO	"Alico, Inc."	261214362	Consumer Non-Durables	Farming/Seeds/Milling
ALDR	"Alder BioPharmaceuticals, Inc."	1207730659	Health Care	Major Pharmaceuticals
ALDX	"Aldeyra Therapeutics, Inc."	164897030.8	Health Care	Major Pharmaceuticals
ALGN	"Align Technology, Inc."	27849595758	Health Care	Industrial Specialties
ALGRU	Allegro Merger Corp.	0	Finance	Business Services
ALGT	Allegiant Travel Company	2326247460	Transportation	Air Freight/Delivery Services
ALIM	"Alimera Sciences, Inc."	70038411	Health Care	Major Pharmaceuticals
ALJJ	"ALJ Regional Holdings, Inc."	73566965.04	Miscellaneous	Business Services
ALKS	Alkermes plc	6593759761	Health Care	Major Pharmaceuticals
ALLT	Allot Communications Ltd.	181374195.6	Technology	Computer Communications Equipment
ALNA	"Allena Pharmaceuticals, Inc."	272767428.1	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ALNY	"Alnylam Pharmaceuticals, Inc."	10155779183	Health Care	Major Pharmaceuticals
ALOT	"AstroNova, Inc."	130309809	Technology	Computer peripheral equipment
ALPN	"Alpine Immune Sciences, Inc."	110796496	Health Care	Major Pharmaceuticals
ALQA	"Alliqua BioMedical, Inc."	9910317.78	Health Care	Medical/Dental Instruments
ALRM	"Alarm.com Holdings, Inc."	2000078019	Technology	Computer Software: Prepackaged Software
ALRN	"Aileron Therapeutics, Inc."	79581970.8	Health Care	Major Pharmaceuticals
ALSK	"Alaska Communications Systems Group, Inc."	91880853.6	Public Utilities	Telecommunications Equipment
ALT	"Altimmune, Inc."	14395276.91	Health Care	Major Pharmaceuticals
ALTR	Altair Engineering Inc.	2244739115	Technology	Computer Software: Prepackaged Software
ALTY	Global X SuperDividend Alternatives ETF	0	n/a	n/a
ALXN	"Alexion Pharmaceuticals, Inc."	29414587649	Health Care	Major Pharmaceuticals
AMAG	"AMAG Pharmaceuticals, Inc."	695114379	Health Care	Major Pharmaceuticals
AMAT	"Applied Materials, Inc."	46501243261	Technology	Semiconductors
AMBA	"Ambarella, Inc."	1328399691	Technology	Semiconductors
AMBC	"Ambac Financial Group, Inc."	899844447.9	Finance	Property-Casualty Insurers
AMBCW	"Ambac Financial Group, Inc."	0	Finance	Property-Casualty Insurers
AMCA	iShares Russell 1000 Pure U.S. Revenue ETF	9551500	n/a	n/a
AMCN	AirMedia Group Inc	28687870.62	Technology	Advertising
AMCX	AMC Networks Inc.	3611353144	Consumer Services	Television Services
AMD	"Advanced Micro Devices, Inc."	15858467644	Technology	Semiconductors
AMDA	Amedica Corporation	5717263.536	Health Care	Medical/Dental Instruments
AMED	Amedisys Inc	2855999516	Health Care	Medical/Nursing Services
AMEH	"Apollo Medical Holdings, Inc."	831684772.1	Consumer Services	Professional Services
AMGN	Amgen Inc.	1.26392E+11	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AMKR	"Amkor Technology, Inc."	2105300890	Technology	Semiconductors
AMMA	"Alliance MMA, Inc."	4473755.174	Consumer Services	Services-Misc. Amusement & Recreation
AMNB	"American National Bankshares, Inc."	360106740.1	Finance	Major Banks
AMOT	"Allied Motion Technologies, Inc."	480059787.4	Capital Goods	Electrical Products
AMOV	"America Movil, S.A.B. de C.V."	57837602640	Public Utilities	Telecommunications Equipment
AMPH	"Amphastar Pharmaceuticals, Inc."	762139881	Health Care	Major Pharmaceuticals
AMR	"Alta Mesa Resources, Inc."	2609824695	Finance	Business Services
AMRB	American River Bankshares	94157680	Finance	Major Banks
AMRH	"Ameri Holdings, Inc."	21233827.74	Technology	Semiconductors
AMRHW	"Ameri Holdings, Inc."	0	Technology	Semiconductors
AMRK	"A-Mark Precious Metals, Inc."	92322938.5	Basic Industries	Other Specialty Stores
AMRN	Amarin Corporation plc	867877084.6	Health Care	Major Pharmaceuticals
AMRS	"Amyris, Inc."	316624957	Basic Industries	Major Chemicals
AMRWW	"Alta Mesa Resources, Inc."	0	Finance	Business Services
AMSC	American Superconductor Corporation	120624149.8	Consumer Durables	Metal Fabrications
AMSF	"AMERISAFE, Inc."	1107502613	Finance	Property-Casualty Insurers
AMSWA	"American Software, Inc."	495018682.8	Technology	Computer Software: Prepackaged Software
AMTD	TD Ameritrade Holding Corporation	31101990516	Finance	Investment Bankers/Brokers/Service
AMTX	"Aemetis, Inc"	35187828.6	Basic Industries	Major Chemicals
AMWD	American Woodmark Corporation	1637099833	Basic Industries	Forest Products
AMZN	"Amazon.com, Inc."	8.30044E+11	Consumer Services	Catalog/Specialty Distribution
ANAB	"AnaptysBio, Inc."	1677734352	Health Care	Major Pharmaceuticals
ANAT	American National Insurance Company	3275185397	Finance	Life Insurance
ANCB	Anchor Bancorp	64841877.11	Finance	Banks
ANCX	Access National Corporation	614833688.7	Finance	Savings Institutions
ANDE	"The Andersons, Inc."	1007480000	Consumer Services	Farming/Seeds/Milling
ANGI	ANGI Homeservices Inc.	7775276316	Consumer Services	Advertising
ANGO	"AngioDynamics, Inc."	870426566.9	Health Care	Medical/Dental Instruments
ANIK	Anika Therapeutics Inc.	483550916.5	Health Care	Medical/Dental Instruments
ANIP	"ANI Pharmaceuticals, Inc."	837606880	Health Care	Major Pharmaceuticals
ANSS	"ANSYS, Inc."	14930638323	Technology	Computer Software: Prepackaged Software
ANY	Sphere 3D Corp.	6178913.134	Technology	EDP Services
AOBC	American Outdoor Brands Corporation	643171227.8	Capital Goods	Ordnance And Accessories
AOSL	Alpha and Omega Semiconductor Limited	346737483.8	Technology	Semiconductors
APDN	Applied DNA Sciences Inc	38844553.53	Consumer Services	Other Consumer Services
APDNW	Applied DNA Sciences Inc	0	Consumer Services	Other Consumer Services
APEI	"American Public Education, Inc."	733864155.3	Consumer Services	Other Consumer Services
APEN	"Apollo Endosurgery, Inc."	128344261.2	Health Care	Medical/Dental Instruments
APLS	"Apellis Pharmaceuticals, Inc."	1172542140	Health Care	Major Pharmaceuticals
APOG	"Apogee Enterprises, Inc."	1410700254	Capital Goods	Auto Parts:O.E.M.
APOP	Cellect Biotechnology Ltd.	46641432.32	n/a	n/a
APOPW	Cellect Biotechnology Ltd.	0	n/a	n/a
APPF	"AppFolio, Inc."	2132248934	Technology	Computer Software: Prepackaged Software
APPN	Appian Corporation	2028899769	Technology	Computer Software: Prepackaged Software
APPS	"Digital Turbine, Inc."	113456032.1	Miscellaneous	Multi-Sector Companies
APRI	"Apricus Biosciences, Inc."	8790405	Health Care	Major Pharmaceuticals
APTI	"Apptio, Inc."	1595008298	Technology	Computer Software: Prepackaged Software
APTO	"Aptose Biosciences, Inc."	121623585.7	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
APTX	Aptinyx Inc.	764601287.5	Health Care	Major Pharmaceuticals
APVO	Aptevo Therapeutics Inc.	114963411.9	Health Care	Major Pharmaceuticals
APWC	Asia Pacific Wire & Cable Corporation Limited	35862041.06	Basic Industries	Telecommunications Equipment
AQB	"AquaBounty Technologies, Inc."	42200237.8	n/a	n/a
AQMS	"Aqua Metals, Inc."	81778498.5	Basic Industries	Metal Fabrications
AQXP	"Aquinox Pharmaceuticals, Inc."	66998375.7	Health Care	Major Pharmaceuticals
ARAY	Accuray Incorporated	353257228.5	Health Care	Medical/Dental Instruments
ARCB	ArcBest Corporation	1173099128	Transportation	Trucking Freight/Courier Services
ARCC	Ares Capital Corporation	7033920300	n/a	n/a
ARCI	"Appliance Recycling Centers of America, Inc."	4537740.9	Consumer Services	Home Furnishings
ARCT	Arcturus Therapeutics Ltd.	93023159.35	n/a	n/a
ARCW	"ARC Group Worldwide, Inc."	53603940.3	Capital Goods	Metal Fabrications
ARDM	Aradigm Corporation	22512978.56	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARDX	"Ardelyx, Inc."	258445342.4	Health Care	Major Pharmaceuticals
AREX	Approach Resources Inc.	242245790.7	Energy	Oil & Gas Production
ARGX	argenx SE	1493221612	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ARII	"American Railcar Industries, Inc."	774423769.2	Capital Goods	Railroads
ARKR	Ark Restaurants Corp.	83618389.25	Consumer Services	Restaurants
ARLP	"Alliance Resource Partners, L.P."	4028051123	Energy	Coal Mining
ARLZ	Aralez Pharmaceuticals Inc.	21893389.36	Health Care	Major Pharmaceuticals
ARNA	"Arena Pharmaceuticals, Inc."	2205195070	Health Care	Major Pharmaceuticals
AROW	Arrow Financial Corporation	528042223.8	Finance	Major Banks
ARPO	"Aerpio Pharmaceuticals, Inc."	111574576.9	Health Care	Major Pharmaceuticals
ARQL	"ArQule, Inc."	593323476.9	Health Care	Major Pharmaceuticals
ARRS	ARRIS International plc	4738532679	Technology	Radio And Television Broadcasting And Communications Equipment
ARRY	Array BioPharma Inc.	3797786805	Health Care	Major Pharmaceuticals
ARTNA	Artesian Resources Corporation	368752642.3	Public Utilities	Water Supply
ARTW	"Art&#39;s-Way Manufacturing Co., Inc."	11440809.24	Capital Goods	Industrial Machinery/Components
ARTX	Arotech Corporation	102020618.7	Miscellaneous	Industrial Machinery/Components
ARWR	"Arrowhead Pharmaceuticals, Inc."	1386346886	Health Care	Major Pharmaceuticals
ASCMA	"Ascent Capital Group, Inc."	48974774.15	Consumer Services	Other Consumer Services
ASET	FlexShares Real Assets Allocation Index Fund	13428278.27	n/a	n/a
ASFI	"Asta Funding, Inc."	22852161.75	Finance	Finance Companies
ASLN	ASLAN Pharmaceuticals Limited	62250000	Health Care	Major Pharmaceuticals
ASMB	"Assembly Biosciences, Inc."	819357126.7	Health Care	Major Pharmaceuticals
ASML	ASML Holding N.V.	14751208701	Technology	Industrial Machinery/Components
ASNA	"Ascena Retail Group, Inc."	743654554.4	Consumer Services	Clothing/Shoe/Accessory Stores
ASND	Ascendis Pharma A/S	2701241655	Health Care	Major Pharmaceuticals
ASNS	"Arsanis, Inc."	51888748.23	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ASPS	Altisource Portfolio Solutions S.A.	540742023.8	Consumer Services	Other Consumer Services
ASPU	Aspen Group Inc.	132686912.1	Consumer Services	Other Consumer Services
ASRV	AmeriServ Financial Inc.	73936944.1	Finance	Major Banks
ASRVP	AmeriServ Financial Inc.	0	Finance	Major Banks
ASTC	Astrotech Corporation	14848175.48	Capital Goods	Military/Government/Technical
ASTE	"Astec Industries, Inc."	1409260451	Capital Goods	Construction/Ag Equipment/Trucks
ASUR	Asure Software Inc	247517313.4	Technology	EDP Services
ASV	"ASV Holdings, Inc."	59227968.51	Capital Goods	Construction/Ag Equipment/Trucks
ASYS	"Amtech Systems, Inc."	87588503.52	Technology	Industrial Machinery/Components
ATAC	Atlantic Acquisition Corp.	20064322.5	Consumer Non-Durables	Food Distributors
ATACR	Atlantic Acquisition Corp.	0	Consumer Non-Durables	Food Distributors
ATACU	Atlantic Acquisition Corp.	0	Consumer Non-Durables	Food Distributors
ATAI	ATA Inc.	43102278.81	Consumer Services	Other Consumer Services
ATAX	"America First Multifamily Investors, L.P."	386898739.2	Finance	Finance: Consumer Services
ATEC	"Alphatec Holdings, Inc."	120365226.5	Health Care	Medical/Dental Instruments
ATHN	"athenahealth, Inc."	6443330013	Miscellaneous	Business Services
ATHX	"Athersys, Inc."	273157919.1	Health Care	Major Pharmaceuticals
ATIS	Attis Industries Inc.	6920648.552	Basic Industries	Miscellaneous
ATISW	Attis Industries Inc.	0	Basic Industries	Miscellaneous
ATLC	Atlanticus Holdings Corporation	27322862.94	Finance	Finance: Consumer Services
ATLO	Ames National Corporation	294224850.8	Finance	Major Banks
ATNI	"ATN International, Inc."	901179104	Public Utilities	Telecommunications Equipment
ATNX	"Athenex, Inc."	1190170860	Health Care	Major Pharmaceuticals
ATOM	Atomera Incorporated	74660856.76	Technology	Semiconductors
ATOS	Atossa Genetics Inc.	7372161.365	Health Care	Major Pharmaceuticals
ATRA	"Atara Biotherapeutics, Inc."	1786546606	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ATRC	"AtriCure, Inc."	979369369.6	Health Care	Medical/Dental Instruments
ATRI	Atrion Corporation	1180364091	Health Care	Medical/Dental Instruments
ATRO	Astronics Corporation	1020853432	Capital Goods	Military/Government/Technical
ATRS	"Antares Pharma, Inc."	423429003.9	Health Care	Medical/Dental Instruments
ATSG	"Air Transport Services Group, Inc"	1400208134	Transportation	Air Freight/Delivery Services
ATTU	Attunity Ltd.	244491918.1	Technology	Computer Software: Prepackaged Software
ATVI	"Activision Blizzard, Inc"	58757401754	Technology	Computer Software: Prepackaged Software
ATXI	"Avenue Therapeutics, Inc."	38043727.23	Health Care	Major Pharmaceuticals
AUBN	"Auburn National Bancorporation, Inc."	186994581.4	Finance	Major Banks
AUDC	AudioCodes Ltd.	228826833.8	Public Utilities	Telecommunications Equipment
AUPH	Aurinia Pharmaceuticals Inc	484904030	Health Care	Major Pharmaceuticals
AUTL	Autolus Therapeutics plc	232411780.2	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AUTO	"AutoWeb, Inc."	52318073.5	Technology	"Computer Software: Programming, Data Processing"
AVAV	"AeroVironment, Inc."	1722943905	Capital Goods	Aerospace
AVDL	Avadel Pharmaceuticals plc	260511997.9	Health Care	Major Pharmaceuticals
AVEO	"AVEO Pharmaceuticals, Inc."	286470605.1	Health Care	Major Pharmaceuticals
AVGO	Broadcom Inc.	1.06919E+11	Technology	Semiconductors
AVGR	"Avinger, Inc."	15778967.28	Health Care	Medical/Dental Instruments
AVHI	"A V Homes, Inc."	482130413.6	Capital Goods	Homebuilding
AVID	"Avid Technology, Inc."	217885127.3	Technology	Computer Software: Prepackaged Software
AVNW	"Aviat Networks, Inc."	89333460.3	Technology	Radio And Television Broadcasting And Communications Equipment
AVRO	"AVROBIO, Inc."	656292435.8	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AVT	"Avnet, Inc."	5187650644	Consumer Non-Durables	Electronic Components
AVXL	Anavex Life Sciences Corp.	153630613.3	Health Care	Biotechnology: Commercial Physical & Biological Resarch
AWRE	"Aware, Inc."	87264612.9	Technology	Computer Software: Prepackaged Software
AXAS	Abraxas Petroleum Corporation	496385027.9	Energy	Oil & Gas Production
AXDX	"Accelerate Diagnostics, Inc."	1141730911	Capital Goods	Biotechnology: Laboratory Analytical Instruments
AXGN	"AxoGen, Inc."	2061891022	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXON          	Axovant Sciences Ltd.	275937469.4	Health Care	Major Pharmaceuticals
AXSM	"Axsome Therapeutics, Inc."	82193574.4	Health Care	Major Pharmaceuticals
AXTI	AXT Inc	281983609.1	Technology	Semiconductors
AY	Atlantica Yield plc	2098549424	Public Utilities	Electric Utilities: Central
AYTU	"Aytu BioScience, Inc."	9875020.589	Health Care	Major Pharmaceuticals
AZPN	"Aspen Technology, Inc."	6825957179	Technology	EDP Services
AZRX	"AzurRx BioPharma, Inc."	52969168.2	Health Care	Major Pharmaceuticals
BABY	Natus Medical Incorporated	1224813984	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus
BAND	Bandwidth Inc.	684380128.2	Technology	Computer Software: Prepackaged Software
BANF	BancFirst Corporation	1995506115	Finance	Major Banks
BANFP	BancFirst Corporation	28000000	Finance	Major Banks
BANR	Banner Corporation	2015779839	Finance	Major Banks
BANX	StoneCastle Financial Corp	149132413.6	n/a	n/a
BASI	"Bioanalytical Systems, Inc."	19003374	Health Care	Biotechnology: Commercial Physical & Biological Resarch
BATRA	Liberty Media Corporation	0	Consumer Services	Broadcasting
BATRK	Liberty Media Corporation	1334133036	Consumer Services	Broadcasting
BBBY	Bed Bath & Beyond Inc.	2952560170	Consumer Services	Home Furnishings
BBC	Virtus LifeSci Biotech Clinical Trials ETF	34759139.04	n/a	n/a
BBGI	"Beasley Broadcast Group, Inc."	324526538.2	Consumer Services	Broadcasting
BBH	VanEck Vectors Biotech ETF	427483867.6	n/a	n/a
BBOX	Black Box Corporation	30733164.7	Technology	Computer Communications Equipment
BBP	Virtus LifeSci Biotech Products ETF	46190184.76	n/a	n/a
BBSI	"Barrett Business Services, Inc."	710049725.7	Technology	Professional Services
BCAC	Bison Capital Acquisition Corp.	24185331.17	Finance	Business Services
BCACR	Bison Capital Acquisition Corp.	0	Finance	Business Services
BCACU	Bison Capital Acquisition Corp.	0	Finance	Business Services
BCACW	Bison Capital Acquisition Corp.	0	Finance	Business Services
BCBP	"BCB Bancorp, Inc. (NJ)"	238055930.8	Finance	Savings Institutions
BCLI	Brainstorm Cell Therapeutics Inc.	81032022.24	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
BCML	BayCom Corp	268688478	Finance	Major Banks
BCNA	Reality Shares Nasdaq NexGen Economy China ETF	2247022.47	n/a	n/a
BCOM	B Communications Ltd.	268702514.6	Consumer Services	Telecommunications Equipment
BCOR	"Blucora, Inc."	1858084154	Finance	Finance: Consumer Services
BCOV	Brightcove Inc.	346471218.8	Technology	EDP Services
BCPC	Balchem Corporation	3293935098	Basic Industries	Major Chemicals
BCRX	"BioCryst Pharmaceuticals, Inc."	590326798.9	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
BCTF	"Bancorp 34, Inc."	53954430.25	Finance	Savings Institutions
BDGE	"Bridge Bancorp, Inc."	730301663.7	Finance	Major Banks
BDSI	"BioDelivery Sciences International, Inc."	178055868	Health Care	Major Pharmaceuticals
BEAT	"BioTelemetry, Inc."	1579037311	Health Care	Medical Specialities
BECN	"Beacon Roofing Supply, Inc."	2850108174	Consumer Services	RETAIL: Building Materials
BELFA	Bel Fuse Inc.	264484308	Capital Goods	Electrical Products
BELFB	Bel Fuse Inc.	273500818.5	Capital Goods	Electrical Products
BFIN	BankFinancial Corporation	318593409.8	Finance	Savings Institutions
BFIT	Global X Health & Wellness Thematic ETF	0	n/a	n/a
BFRA	Biofrontera AG	13025621.92	Health Care	Major Pharmaceuticals
BFST	"Business First Bancshares, Inc."	289562789.7	Finance	Major Banks
BGCP	"BGC Partners, Inc."	3591165109	Finance	Investment Bankers/Brokers/Service
BGFV	Big 5 Sporting Goods Corporation	157407291.3	Consumer Services	Other Specialty Stores
